gene,sample,expression,time
Gm13562,GSM2545336,12,8
Cd70,GSM2545336,16,8
Itm2a,GSM2545336,1769,8
Avil,GSM2545336,29,8
Zscan22,GSM2545336,483,8
Itgb3,GSM2545336,52,8
Col11a2,GSM2545336,389,8
Apoc1,GSM2545336,255,8
Tmeff2,GSM2545336,2237,8
Tyro3,GSM2545336,5545,8
Ift22,GSM2545336,948,8
Mtmr7,GSM2545336,3319,8
Gabrr2,GSM2545336,178,8
Ube2v2,GSM2545336,1911,8
C77080,GSM2545336,1832,8
Elovl5,GSM2545336,3887,8
Serinc5,GSM2545336,2456,8
Pyroxd2,GSM2545336,142,8
Ypel2,GSM2545336,1652,8
Parp3,GSM2545336,547,8
Xpo1,GSM2545336,4683,8
Polr2a,GSM2545336,7881,8
Tspyl4,GSM2545336,25681,8
Irgm1,GSM2545336,640,8
Cep131,GSM2545336,1345,8
Sema4d,GSM2545336,3309,8
Gbp6,GSM2545336,340,8
Zfp119b,GSM2545336,387,8
Eps15,GSM2545336,12463,8
Pxmp2,GSM2545336,309,8
Tomm40l,GSM2545336,1681,8
Atat1,GSM2545336,1082,8
Chrac1,GSM2545336,587,8
Mrpl24,GSM2545336,1332,8
Ipo9,GSM2545336,10792,8
Actg1,GSM2545336,7267,8
Noxred1,GSM2545336,31,8
Gm20501,GSM2545336,208,8
H2-K1,GSM2545336,1883,8
Lig1,GSM2545336,914,8
Morn2,GSM2545336,195,8
Dcakd,GSM2545336,961,8
Nop14,GSM2545336,1399,8
Bbs1,GSM2545336,1362,8
Tada2b,GSM2545336,1775,8
Gal3st1,GSM2545336,205,8
Xpc,GSM2545336,1173,8
Irf2bp2,GSM2545336,2747,8
Spns2,GSM2545336,2875,8
Pole,GSM2545336,208,8
Fam78b,GSM2545336,1627,8
Ggcx,GSM2545336,695,8
Anks1,GSM2545336,2126,8
Pgm2,GSM2545336,5325,8
Zgrf1,GSM2545336,644,8
Alkbh3,GSM2545336,759,8
Dnd1,GSM2545336,26,8
Lime1,GSM2545336,1612,8
Trim23,GSM2545336,5526,8
Abhd14a,GSM2545336,490,8
Zkscan3,GSM2545336,1732,8
Fam131b,GSM2545336,11825,8
Elovl1,GSM2545336,631,8
Trim72,GSM2545336,81,8
Klhdc9,GSM2545336,228,8
Iqck,GSM2545336,166,8
Smim14,GSM2545336,7435,8
Kcnab3,GSM2545336,2548,8
Ing5,GSM2545336,846,8
Cnnm3,GSM2545336,3136,8
